FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,subcluster,v1,v2
문화및관광,과학기술정보통신부,콘텐츠방송산업육성,콘텐츠 진흥,0,8.370012,9.907402
문화및관광,문화체육관광부,건강한 저작권 생태계 조성,저작물 이용 및 유통환경 조성,0,8.07424,10.25333
보건,보건복지부,보건산업육성,보건의료연구개발,0,10.171575,10.365138
보건,보건복지부,보건의료서비스지원,보건의료기술 평가연구,1,8.034838,5.0944242
보건,식품의약품안전처,의약품안전성제고,의약품 안전기반 구축,0,8.018197,10.19879
사회복지,고용노동부,노사정책,노사협력,1,7.9614506,8.730765
사회복지,고용노동부,직업능력개발,한국기술교육대학교출연,1,8.490172,6.3130903
사회복지,고용노동부,직업능력개발,한국산업인력공단출연,1,8.6655,6.3336763
사회복지,고용노동부,직업능력개발,한국폴리텍대학출연,1,8.536337,6.532994
사회복지,보건복지부,일반보건복지행정지원,국제협력관리,0,8.468704,9.91366
사회복지,보건복지부,일반보건복지행정지원,보건복지인력개발,1,7.598148,8.796607
산업·중소기업및에너지,과학기술정보통신부,지역경제활성화,광역경제권거점기관지원,1,9.218025,4.6333575
산업·중소기업및에너지,산업통상자원부,산업경쟁력기반구축,산업기술기반구축,1,9.442,6.381596
산업·중소기업및에너지,산업통상자원부,산업기술표준및제품안전관리,국가표준혁신및국제협력,0,8.813122,10.14858
산업·중소기업및에너지,산업통상자원부,신산업진흥,로봇산업진흥,1,8.583309,7.896385
산업·중소기업및에너지,산업통상자원부,신산업진흥,산업융합및창의산업진흥,0,8.651585,10.094832
산업·중소기업및에너지,산업통상자원부,에너지기술개발,에너지수요기술,0,9.988515,10.757812
산업·중소기업및에너지,산업통상자원부,에너지기술기반확충,기반구축,0,9.103291,11.945646
산업·중소기업및에너지,산업통상자원부,에너지자원정책,가스안전관리,1,9.567842,6.2589154
산업·중소기업및에너지,산업통상자원부,에너지자원정책,에너지자원정책지원,1,7.9580364,9.216853
